yontem,sayfa_id,sayfa_basligi,parca_sira,parca_basligi,token_sayisi,karakter_sayisi,icerik
mevcut,1,Veritabani Temelleri,0,Giris,18,67,"Bu notta PostgreSQL kullanarak veritabani tasarimi anlatilacaktir.
"
mevcut,1,Veritabani Temelleri,1,Normalizasyon,32,107,"Normalizasyon, veri tekrarini onlemek icin kullanilir. 1NF, her sutunun atomik deger icermesini gerektirir."
mevcut,22,Proje Durum Raporu,0,Genel Durum,31,91,"Proje %65 tamamlandı, planlanan teslim tarihi 15 Eylül. Şu an bir hafta gecikme riski var.
"
mevcut,22,Proje Durum Raporu,1,Tamamlanan Modüller,22,79,"Kullanıcı girişi, profil yönetimi, bildirim sistemi tamamlandı ve test edildi.
"
mevcut,22,Proje Durum Raporu,2,Devam Eden İşler,27,85,"Ödeme entegrasyonu üçüncü parti API'nin dokümantasyon eksikliği nedeniyle yavaşladı.
"
mevcut,22,Proje Durum Raporu,3,Riskler,24,90,Ödeme sağlayıcısıyla teknik destek görüşmesi henüz planlanmadı - bu gecikmeyi büyütebilir.
mevcut,26,Final Sınav Takvimi,0,Hafta 1 (12-16 Ocak),23,55,12 Ocak Pazartesi 09:00 - Veritabanı Yönetim Sistemleri
mevcut,26,Final Sınav Takvimi,1,Hafta 1 (12-16 Ocak),16,32,13 Ocak Salı 14:00 - Calculus II
mevcut,26,Final Sınav Takvimi,2,Hafta 1 (12-16 Ocak),20,44,15 Ocak Perşembe 09:00 - Elektronik Devreler
mevcut,26,Final Sınav Takvimi,3,Hafta 2 (19-23 Ocak),18,44,19 Ocak Pazartesi 09:00 - Sistem Programlama
mevcut,26,Final Sınav Takvimi,4,Hafta 2 (19-23 Ocak),21,45,21 Ocak Çarşamba 14:00 - Asenkron Programlama
mevcut,26,Final Sınav Takvimi,5,Notlar,39,116,Sınav yerleri sınavdan 3 gün önce ilan edilecek. Mazeret sınavı talepleri için dekanlığa başvuru son tarihi 26 Ocak.
mevcut,27,yapılacaklar listesi,0,Bu Hafta,14,49,[ ] Sprint planlama toplantısı için sunum hazırla
mevcut,27,yapılacaklar listesi,1,Bu Hafta,15,33,[ ] Zeynep'in PR'ını gözden geçir
